Emp_ID,Age,Salary,Joining Designation,Designation,Total Business Value,Quarterly Rating,City,Gender,Education_Level,Dateofjoining,EmployeeLeaveOrNot
47,30,28000,1,1,288756.67,2,C21,Male,Bachelor,09-10-2017,0
49,21.08,53039,1,2,138369.23,1.23,C20,Male,College,25-05-2015,1
50,49,89367,3,3,55155,1,C5,Female,College,20-11-2015,1
51,33.2,131347,4,4,319001,1.6,C14,Male,College,22-05-2014,1
52,36.5,48687,3,3,308765,1.5,C19,Male,College,28-06-2017,0
54,33.78,121816.94,4,4.39,1879071.67,2.22,C29,Male,Bachelor,11-07-2016,0
55,30,29985,1,1,0,1,C8,Female,College,21-11-2016,1
56,34.83,80223,1,1,488477.92,2.88,C19,Female,Master,20-07-2015,0
57,37.05,84318,1,2,1199542.63,3.05,C1,Female,Bachelor,26-07-2014,1
58,41,57987,2,2,0,1,C4,Male,College,15-10-2015,1
59,35,31644,1,1,44886.67,1,C18,Female,Bachelor,06-01-2016,1
60,46.58,83992.5,1,3.25,2051063.33,3.5,C20,Female,College,17-09-2013,0
61,32,19818,1,1,-146433.33,1,C11,Male,Master,04-05-2015,1
62,27,62376,1,1,0,1,C9,Male,Master,28-11-2017,0
63,26.58,93931,1,3,512213.33,1.88,C6,Male,College,30-04-2013,0
64,33,66502,2,2,38788,1,C27,Male,Master,31-01-2017,1
65,29,69539,2,2,651032.22,2.5,C7,Female,Bachelor,31-07-2015,1
66,27,104286,3,3,0,1,C4,Female,Master,21-01-2017,0
67,39.92,65982,1,2,522645.83,2.5,C28,Male,Master,04-01-2016,0
68,31.25,79288,1,3,1137909.17,3.25,C29,Male,College,18-10-2012,0
69,31.09,64604,2,2,421825.45,1.82,C7,Female,Bachelor,14-11-2016,1
70,35,19235,1,1,0,1,C20,Male,Bachelor,08-10-2015,1
71,43,54103,3,3,94390,1,C20,Male,Master,25-05-2015,1
72,28,42242,2,2,64526.67,1,C14,Male,Master,18-10-2017,0
74,34.5,59216,2,2,98711.67,1,C5,Female,Master,01-05-2017,1
75,25,39884,2,2,394321.67,2,C18,Female,Master,21-07-2017,1
77,33.5,63918,1,2,748330,3,C3,Male,Master,18-05-2015,0
78,35.67,105946,2,4,1813812.92,2.62,C21,Male,College,16-09-2015,0
79,32,114648,4,4,0,1,C14,Male,Bachelor,09-07-2016,1
80,29,56687,2,2,51100,1,C7,Female,College,02-10-2017,0
81,38.3,77177,1,2,313368,1.6,C9,Male,Master,12-06-2015,1
82,37,89013,3,3,0,1,C24,Female,Bachelor,11-04-2017,1
83,34,115159,3,3,75000,1,C23,Male,Master,29-08-2016,1
84,41.67,25950,1,1,579201.33,2.4,C16,Male,College,04-07-2016,1
85,24.33,49509,1,1,0,1,C22,Male,Master,28-09-2017,0
86,35,49510,1,1,0,1,C2,Male,Master,28-05-2015,1
87,36.69,119341,3,3,2251826.25,3.25,C6,Male,Bachelor,31-08-2016,0
88,45,62298,2,2,541478.33,2,C3,Female,College,06-01-2015,1
89,27.2,58977,2,2,408762,2,C2,Male,Bachelor,30-05-2016,1
90,32.2,29408,2,2,108728,1,C22,Male,College,11-11-2016,1
91,31,22731,2,2,40000,1,C21,Male,College,03-08-2016,1
93,30,39527,2,2,610060,2,C17,Male,Master,14-07-2015,1
95,28.5,60874,3,3,0,1,C14,Female,Master,30-01-2017,1
96,34.8,64953,3,3,0,1,C12,Male,Master,17-07-2017,1
97,40,80771,3,3,116666.67,1,C2,Female,Master,03-10-2017,0
98,24.53,59000,2,2.18,1259731.76,3,C16,Male,College,15-08-2016,1
99,29.67,38068,2,2,0,1,C23,Male,College,24-03-2017,1
101,33,38945,1,1,351968,1.6,C10,Male,College,03-12-2014,1
102,22,42270,1,1,0,1,C12,Female,College,05-01-2016,1
103,26,68913,2,2,68047.5,1,C28,Female,Bachelor,30-11-2016,1
104,30,60332,2,2,250464,1.6,C23,Female,Bachelor,16-08-2017,0
105,38,67931,1,1,0,1,C4,Male,College,18-09-2015,1
106,33.62,57671,1,3,563110,2,C22,Female,College,27-05-2013,1
107,34.17,102142,3,3,378787.5,1.75,C9,Male,Master,12-12-2016,1
108,37.5,121259,3,3,144058.33,1,C22,Male,Master,09-01-2017,1
109,35.67,33927,1,1,214213.33,1.67,C6,Female,College,14-04-2017,0
110,32,32663,1,1,41968.33,1,C16,Female,Bachelor,19-09-2016,1
111,51.22,73769,2,3,240871.11,1,C13,Male,Bachelor,13-12-2013,1
112,44.75,50466,1,1,546727.92,2.88,C29,Male,Bachelor,30-06-2015,0
113,42,47160,1,1,134088,1.6,C10,Female,College,23-06-2016,1
114,32,89456,3,3,0,1,C19,Female,College,28-09-2017,0
115,45,31752,1,3,528122.5,2.12,C1,Male,Bachelor,23-07-2012,0
116,21.67,16477,1,1,124110,1.33,C11,Male,College,04-12-2015,1
117,46,144978,1,5,1673030,2.5,C1,Female,Bachelor,28-01-2013,0
118,42,67904,3,3,21528.57,1,C27,Female,College,10-03-2017,1
119,31.8,71000,3,3,111544,1,C29,Female,Bachelor,16-11-2016,1
120,26.86,114258,3,3,0,1,C14,Male,Master,28-09-2016,1
121,33,58885,3,3,0,1,C13,Female,Master,07-03-2017,1
122,27,57406,2,2,121152,1.6,C26,Male,College,07-08-2017,0
123,43.78,41401,1,1,242684.44,1.67,C24,Male,Bachelor,07-10-2015,1
125,32.57,30847,1,1,174540,1.43,C10,Female,Master,29-07-2015,1
127,33,84085,3,3,-23333.33,1,C28,Male,Bachelor,04-05-2015,1
129,38,60708,2,2,72698.33,1,C6,Female,Bachelor,11-07-2017,0
130,37.62,39990,2,2,366088.75,1.38,C28,Male,Bachelor,17-01-2017,1
131,38,79086,2,3,238214.55,1.27,C19,Female,Bachelor,21-10-2010,1
132,27,43165,2,2,0,1,C20,Male,Master,01-05-2017,1
133,44,46858,1,1,174622,1.6,C23,Female,Master,30-07-2015,1
134,32,76904,3,3,63516.67,1,C27,Male,College,12-10-2017,0
135,28,98877,3,3,379420,1.75,C22,Male,College,15-09-2017,0
136,37,47009,1,1,0,1,C10,Female,College,02-10-2015,1
137,41.29,33459,2,2,938581.43,3.14,C28,Male,College,05-06-2017,0
138,48,34827,1,1,0,1,C21,Male,Master,26-01-2015,1
139,31.5,51850,2,2,0,1,C14,Male,Bachelor,31-10-2016,1
140,36.83,72253,1,2,580830.83,2.62,C9,Male,Bachelor,29-04-2013,0
141,35,65901,2,2,0,1,C22,Male,Bachelor,10-07-2017,1
142,24,29807,1,1,61020,1,C16,Male,Bachelor,10-06-2015,1
143,39.33,24150,1,1,113520,1,C12,Male,Master,01-05-2015,1
144,26.25,21933,1,1,0,1,C28,Male,Master,19-08-2016,1
145,35,75112,3,3,369456,2.2,C13,Male,Bachelor,13-02-2017,1
147,36,85172,2,2,0,1,C9,Male,Bachelor,20-07-2016,1
148,41,45288,2,2,0,1,C15,Male,College,11-12-2017,0
149,34,61913,3,3,0,1,C20,Female,College,17-04-2017,1
150,37.58,29013,1,3,1011395,3,C17,Male,College,22-04-2013,0
151,30,89602,4,4,190034,1,C15,Male,College,15-09-2016,1
152,31,31547,1,2,236620,1.5,C17,Male,College,03-06-2015,1
153,37.09,148588,5,5,133890.91,1.27,C22,Female,Bachelor,14-10-2015,1
154,30,47211,1,1,0,1,C21,Male,Bachelor,03-07-2017,1
155,27,118363,2,3,801190,2,C26,Male,Bachelor,10-09-2014,1
156,41,41046,1,1,0,1,C9,Female,Bachelor,01-07-2015,1
158,26,45832,1,1,0,1,C22,Male,Bachelor,03-07-2017,1
159,43.71,30121,1,1,448438.57,2.29,C4,Female,Bachelor,21-07-2014,1
161,37.25,35793,1,1,0,1,C25,Male,Master,19-06-2015,1
162,35.5,100064,3,3,0,1,C2,Male,Bachelor,31-10-2016,1
163,29,25731,1,1,0,1,C6,Male,College,08-05-2017,1
164,36.56,106171,1,4,577513.89,1.5,C26,Female,College,17-06-2016,1
165,25,76307,2,2,0,1,C21,Female,Master,16-10-2015,1
167,26,35283,1,1,230924,1.6,C18,Male,Bachelor,02-03-2015,1
168,25.6,33057,2,2,805838,3.2,C15,Male,Master,07-10-2016,0
169,33.17,38409,2,2,436613.33,2.5,C14,Male,Master,01-05-2015,1
170,35,91458,3,3,397536,1.6,C7,Male,Master,04-07-2016,1
171,43.71,56242,2,2,495168.57,1.86,C23,Female,Bachelor,24-08-2015,1
172,41,101395,2,3,766550,2.71,C6,Female,Master,07-11-2014,1
173,38.17,56174,1,3,827762.08,2.75,C28,Male,College,13-06-2011,0
174,39,22065,1,1,594100,2.2,C21,Female,Bachelor,27-07-2015,1
175,30.8,27889,1,1,3916,1,C13,Male,College,22-09-2015,1
176,33.25,21276,1,1,0,1,C15,Male,College,04-05-2017,1
177,30.17,43053,1,1,100000,1,C4,Male,Bachelor,14-12-2015,1
178,23,36637,2,2,61111.11,1,C7,Female,College,11-09-2015,1
179,26,24490,1,1,323356,1.6,C11,Female,Master,26-05-2015,1
180,34,95694,2,4,0,1,C29,Male,Bachelor,26-06-2015,1
181,30,26926,3,3,0,1,C17,Female,Master,06-11-2017,0
182,32,25832,1,1,123760,1.43,C22,Male,Master,13-01-2017,1
183,26,43263,1,1,129114.29,1,C23,Female,Master,03-11-2016,1
184,33.75,62199,2,2,225790,1.75,C21,Female,Master,12-04-2017,1
185,29,82120,1,3,302071.25,1.38,C1,Male,College,30-11-2013,1
187,34,20922,2,2,30320,1,C26,Male,Bachelor,02-11-2016,1
188,33.14,36483,2,2,179763.57,1.21,C12,Male,College,15-11-2016,0
190,35.36,108051,4,4,11089.09,1,C1,Female,College,07-11-2015,1
191,26.69,63380,3,3,820468.46,2.62,C11,Female,Master,19-12-2016,0
192,37,66952,3,3,268026.67,1.33,C9,Female,Bachelor,10-04-2017,0
193,46.79,59084,1,2,713072.86,2.71,C26,Male,Master,07-05-2015,1
194,30,54074,2,2,500000,2.5,C8,Male,College,28-06-2017,1
195,27,19419,1,1,0,1,C18,Male,College,28-09-2017,1
196,43.43,75001,3,3,164388.57,1.43,C14,Male,Bachelor,29-05-2017,1
197,40.78,94594,2,3,220572.22,1,C25,Male,Bachelor,16-10-2010,1
199,29.5,87902,1,3,1313904.17,3.25,C14,Male,College,16-12-2013,0
200,46,66707,3,3,0,1,C8,Male,Bachelor,28-11-2016,1
201,38,42260,3,3,0,1,C5,Female,College,30-05-2016,1
202,33,28921,1,1,296650,2,C28,Male,College,30-10-2017,0
203,33.71,84713,3,3,165672.94,1.35,C4,Female,Master,04-07-2016,1
204,31,68151,1,2,84307.5,1,C14,Female,College,05-12-2014,1
205,39,15826,1,1,0,1,C12,Male,College,20-12-2017,0
206,26,12968,1,1,0,1,C10,Female,College,28-09-2017,0
207,32,61894,3,3,802430,1.75,C29,Male,College,09-05-2015,1
208,31,31657,1,1,75356,1,C16,Male,Master,06-01-2016,1
210,37.62,64583,3,3,100317.5,1,C29,Male,Master,03-05-2017,0
211,34,81730,3,3,0,1,C6,Female,Master,05-06-2017,1
213,36.42,59947,2,2,507607.92,2.25,C24,Male,College,05-09-2015,0
215,25.82,17307,1,1,158400.91,1.55,C15,Female,Bachelor,19-07-2016,1
216,29.62,86340,2,2,540068.46,2.38,C20,Male,Bachelor,04-07-2016,1
217,31.17,27328,1,2,975705,2.5,C10,Male,Bachelor,20-05-2013,1
218,24.6,27979,1,1,146924,1.6,C21,Male,College,31-07-2017,0
219,35.09,51657,2,2,255031.82,1.27,C5,Male,College,11-05-2015,1
220,37.9,107539,2,3,278445,1.3,C18,Female,Bachelor,20-11-2010,1
221,31,13051,1,1,0,1,C3,Male,College,29-12-2015,1
222,26,92753,3,3,0,1,C2,Male,College,12-09-2016,1
223,25,59108,2,2,389977.5,1.75,C20,Male,College,24-08-2015,1
225,32,44792,3,3,373711.67,2,C14,Female,College,13-07-2017,0
226,36,55528,2,2,167471.43,1,C18,Female,Bachelor,09-11-2016,1
227,44.75,61912,3,3,904743.75,2.62,C29,Female,Master,01-05-2017,1
228,44.71,53385,1,1,611183.53,3.12,C6,Male,Master,25-07-2013,1
229,43,104995,4,4,1327490,1.78,C28,Male,College,03-08-2016,1
230,33.31,44359,2,2,448036.92,2.38,C25,Male,College,13-10-2015,1
231,32,21354,1,1,0,1,C5,Male,Bachelor,22-10-2015,1
232,34,23185,1,1,0,1,C15,Male,Master,03-07-2015,1
233,36,139139,3,3,83333.33,1,C27,Female,Bachelor,28-06-2017,0
234,26.42,52616,2,2,233395,1.5,C23,Female,Bachelor,02-01-2017,0
235,39,37873,1,1,0,1,C16,Female,College,08-10-2015,1
237,32.25,75626,3,3,45267.5,1,C10,Male,College,04-09-2017,0
238,32,40168,2,2,82551.67,1,C20,Male,College,14-01-2017,1
241,24,33901,1,1,0,1,C1,Male,College,12-11-2015,1
242,28,11236,1,1,0,1,C21,Male,College,03-11-2016,1
243,26,60228,3,3,96630,1,C4,Male,Master,14-08-2017,0
244,39.8,37346,1,2,309534,1.9,C20,Male,Master,04-05-2015,1
245,38,77903,2,2,0,1,C23,Male,Master,11-09-2017,1
246,42,64128,1,2,253132.22,1.67,C10,Male,Bachelor,13-12-2013,1
247,39,27294,2,2,123980,1.6,C4,Female,College,14-06-2017,1
252,36.33,81700,1,3,1181170.42,2.88,C24,Male,Master,16-06-2015,0
256,21,25172,1,1,0,1,C10,Male,College,19-10-2015,1
257,30,31655,3,3,50076.67,1,C29,Male,Bachelor,14-12-2016,1
258,29,25459,1,1,332256.25,2.12,C13,Male,College,03-05-2017,0
260,29,47864,1,1,0,1,C24,Male,Bachelor,31-10-2016,1
261,41.56,90988,3,3,494548.12,1.94,C20,Female,Master,27-07-2015,1
262,28,24862,2,2,171431.43,1.43,C2,Female,Bachelor,16-01-2016,1
263,24,19170,1,1,96500,1,C6,Male,College,12-10-2017,0
264,25,49439,1,1,0,1,C11,Male,Master,18-12-2017,1
265,34,40381,1,1,243825.71,1.86,C3,Male,Bachelor,30-05-2017,0
266,42.67,40102,1,2,426441.67,1.5,C16,Male,Bachelor,17-10-2014,1
267,35.6,89200,3,3,364389,1.4,C5,Male,College,07-10-2016,1
268,30.2,54352,1,1,268289.33,2,C6,Female,Bachelor,01-06-2016,1
270,36,76336,3,3,65000,1,C11,Male,Bachelor,04-05-2017,1
271,38,134529,4,4,2738444.29,3.14,C29,Male,Master,29-05-2017,0
272,35.95,64901,2,2,473306.84,2.26,C5,Male,Bachelor,30-05-2016,0
273,29,40259,1,1,115492.5,1,C16,Male,Bachelor,30-08-2017,0
274,39,53224,2,2,0,1,C7,Male,Bachelor,20-12-2017,0
275,40.17,91149.5,1,3.25,1404074.58,2.88,C20,Male,College,02-05-2013,0
276,29.33,107495,3,3,160946.67,1.5,C23,Female,Bachelor,30-06-2017,0
278,34,52191,1,1,176336.67,1,C2,Male,College,21-10-2013,1
279,28.78,41800,1,1,304014.44,1.89,C2,Female,College,02-11-2016,1
280,33,108013,4,4,482230.71,1.43,C6,Female,Master,12-10-2010,1
281,42.33,78607,3,3,82270,1,C20,Female,Bachelor,10-10-2017,0
282,29,57339,2,2,0,1,C21,Female,College,16-08-2017,1
283,27,57420,2,2,0,1,C29,Female,Master,10-11-2017,0
284,34,42189,2,2,0,1,C20,Male,Master,03-01-2017,1
286,30,70781,2,2,30080,1,C24,Female,Bachelor,13-07-2017,1
287,30,13605,1,1,0,1,C7,Female,College,22-05-2017,1
288,41,62901,2,2,0,1,C17,Female,College,18-12-2017,0
289,29,51110,2,2,0,1,C3,Male,College,18-07-2017,0
290,25,66842,1,1,0,1,C5,Female,Bachelor,28-07-2016,1
291,27,49695,2,2,254648,1.6,C20,Female,Master,12-02-2015,1
292,33,81858,3,3,0,1,C29,Female,Master,05-07-2017,1
293,28,45981,1,1,124470,1,C11,Female,Bachelor,02-12-2013,1
294,36,13793,1,1,51120,1,C21,Male,College,10-10-2017,0
295,29,35983,2,2,37615,1,C8,Female,College,05-01-2016,1
296,31.17,65094,1,2,1245893.75,3,C20,Female,Bachelor,10-06-2015,0
297,38,109473,3,3,0,1,C8,Male,Master,19-12-2017,0
298,38.12,70753,3,3,187721.25,1,C20,Male,College,12-09-2016,1
299,36,25851,1,1,0,1,C28,Female,College,20-08-2016,1
303,42,78645,1,2,0,1,C28,Male,Bachelor,15-10-2012,1
305,24,20176,1,1,0,1,C9,Male,College,26-08-2015,1
306,31,53025,2,2,0,1,C4,Female,College,29-11-2017,0
307,37.64,81190.14,2,3.05,2583608.18,3.73,C26,Male,College,05-10-2015,1
308,30.92,188418,2,5,2417687.08,2.62,C5,Male,Master,15-08-2011,0
309,30,77597,3,3,0,1,C5,Female,Bachelor,11-12-2017,0
310,27,58439,1,1,0,1,C3,Female,Master,11-12-2017,0
312,34,26047,2,2,0,1,C16,Male,College,18-03-2017,1
313,31,96603,3,3,25008.33,1,C15,Female,College,18-04-2017,1
315,29,50281,3,3,0,1,C9,Female,Master,12-09-2017,1
316,47,42592,1,1,125000,1,C12,Male,Master,19-09-2015,1
317,34.2,59936,2,2,346389.33,1.8,C5,Male,Bachelor,17-06-2016,1
318,33,37890,1,1,0,1,C3,Female,Bachelor,18-10-2016,1
319,30,51819,3,3,0,1,C27,Male,Master,02-01-2017,1
320,27.5,58391.25,1,1.25,1256403.33,4,C20,Female,College,13-07-2015,0
321,26.67,29869,1,1,40416.67,1,C25,Female,Bachelor,31-10-2016,1
322,41,57245,2,2,66666.67,1,C6,Female,College,15-06-2016,1
323,29.33,64558,2,2,263316.67,1.5,C29,Female,Master,06-01-2017,0
324,30.33,69160,3,3,766666.67,3,C26,Male,Bachelor,03-07-2017,0
325,26,50739,1,1,13627.5,1,C15,Male,Master,30-11-2015,1
326,24,69454,2,2,48500,1,C28,Male,Master,21-04-2017,1
327,38,26658,1,1,210405,1.75,C3,Male,Bachelor,29-05-2015,1
328,35,54816,3,3,25000,1,C28,Female,Bachelor,11-12-2015,1
329,43,133752,1,3,613214.58,2.12,C11,Female,Bachelor,19-07-2012,0
330,39,35694,1,1,0,1,C15,Female,Bachelor,24-09-2015,1
331,35,71154,3,3,0,1,C25,Male,Master,27-09-2017,0
332,29,51152,1,1,67180,1,C24,Male,Master,03-02-2016,1
333,44,45796,1,1,259392,1.6,C6,Female,Bachelor,19-09-2015,1
334,29,58812,2,2,64658,1,C9,Female,College,07-01-2016,1
335,41,94685,3,3,0,1,C11,Female,Master,17-11-2017,0
336,46.3,140769,2,4,478879,1.3,C10,Male,Master,10-02-2015,1
337,45,62135,2,2,0,1,C8,Female,Master,15-09-2015,1
339,31.83,55937,3,3,152276.67,1.25,C17,Male,Bachelor,13-06-2016,1
340,35.67,33327,1,1,181520,1,C16,Male,College,08-08-2015,1
341,39.31,49592,2,2,303575.38,1.92,C11,Male,Bachelor,24-12-2016,0
342,44.23,83084,3,3,852461.54,2.38,C18,Male,Master,09-07-2015,1
343,23.8,26563,1,1,30088,1,C4,Male,Bachelor,16-01-2017,1
344,28,55938,3,3,0,1,C2,Male,Bachelor,02-02-2017,1
345,35,35284,2,2,166978,1.6,C27,Female,Bachelor,31-07-2017,0
346,30.2,92158,3,3,214446,1,C2,Female,Bachelor,02-12-2016,1
347,36,57044,2,3,0,1,C15,Female,College,05-01-2015,1
348,28,71326,2,2,0,1,C13,Female,Bachelor,01-09-2017,0
349,33,56317,2,2,19400,1,C26,Male,Master,27-05-2016,1
350,33,55441,2,2,0,1,C10,Male,Master,03-12-2015,1
351,30.08,50609,2,2,634994.62,2.15,C9,Male,Bachelor,10-12-2016,0
352,43.33,39564,1,1,105346.67,1,C24,Male,College,24-02-2016,1
353,30.3,33134,1,1,591058.7,2.83,C18,Female,Master,15-07-2015,1
354,31,60555,1,1,0,1,C11,Female,College,30-11-2015,1
355,34,135879,3,3,395470,1.38,C22,Male,Master,16-06-2015,1
357,34.4,127616,4,4,1319153,2.1,C2,Male,College,08-03-2017,0
358,39.14,117830,3,3,369652.14,1.86,C26,Female,Master,29-10-2016,0
359,36.37,107473,2,4,1866316.84,2.42,C4,Male,Master,20-06-2016,0
360,39,58347,2,2,156725,1,C20,Female,Bachelor,21-10-2015,1
361,33,13743,1,1,111040,1,C21,Male,College,17-09-2015,1
362,37.62,51609,2,2,489017.5,2.5,C20,Female,Master,04-05-2017,0
363,30,67650,2,2,167031,1,C21,Male,Master,08-12-2016,1
364,27,35727,1,1,91234,1.6,C13,Male,Master,07-03-2017,1
365,24,44740,2,2,0,1,C22,Female,College,01-02-2017,1
366,29,44630,2,2,0,1,C15,Male,Master,30-10-2017,0
368,43.75,47368,1,1.12,1286219.58,3.75,C23,Male,Bachelor,18-09-2015,0
369,32,28186,1,1,0,1,C20,Male,College,20-09-2017,1
371,47.08,49113,1,1,508578.33,2.88,C20,Female,Bachelor,20-07-2015,0
372,33,82259,2,2,32760,1,C26,Female,College,30-06-2016,1
373,29.38,38569,1,1,565848.75,2.12,C23,Female,Master,01-11-2016,1
375,35.56,109992,3,3,391803.33,2,C27,Male,College,07-04-2017,0
376,37.2,88715,2,2,450196,2.2,C5,Male,Master,07-08-2017,0
377,34,121332,1,3,792387.08,2.5,C5,Male,College,11-10-2012,0
378,33,35057,3,3,0,1,C9,Male,Master,13-12-2017,0
379,30.6,29106,1,1,331512,1.9,C13,Male,Master,22-05-2015,1
382,28,12938,1,1,0,1,C18,Male,College,18-10-2017,0
383,40.4,43969,1,1,336032,2,C17,Female,College,17-09-2015,0
384,25.89,52364,2,2,252414.44,1.67,C27,Female,Bachelor,21-10-2015,1
385,34.67,77156,3,3,377186.67,2,C28,Female,Master,28-09-2017,0
386,45,137082,2,4,652867.78,1.67,C18,Female,Bachelor,06-02-2012,1
387,29,45245,1,1,88586.67,1,C22,Female,Master,25-11-2013,1
388,33.77,43611,2,2,232612.31,1.46,C15,Male,Bachelor,05-12-2016,0
389,30,45923,2,2,66666.67,1,C15,Female,Master,23-05-2016,1
390,32,70428,1,1,0,1,C22,Female,Master,29-10-2015,1
391,35.83,133783,1,3,728498.75,2.5,C22,Male,Bachelor,14-01-2013,0
392,34.33,84850,3,3,0,1,C20,Female,Bachelor,30-01-2017,1
394,33.25,97722,2,4,1144092.5,2.12,C20,Female,Master,06-06-2011,0
397,27.62,73194,2,2,153942.5,1.38,C12,Male,Master,02-06-2016,1
398,30,63280,2,2,0,1,C5,Male,Master,07-12-2017,0
399,30.75,40604,1,1,230057.5,1.75,C5,Male,Master,17-10-2015,1
400,34.53,65729,2,2,649879.33,2.8,C19,Male,College,08-10-2016,0
401,38,76069,2,2,184270,1,C23,Female,College,02-06-2015,1
402,45.08,91279,1,3,1121986.67,3.12,C24,Male,Master,29-11-2012,0
403,29,24049,2,2,0,1,C15,Male,Master,13-10-2017,0
404,35.56,41553,2,2,369885.56,2,C1,Male,College,19-10-2015,1
405,34,25028,1,1,292215,1.75,C14,Male,Master,06-06-2016,1
406,42.25,38625,1,1,0,1,C12,Male,Master,22-08-2015,1
407,40.5,58207,1,2,678783.33,3,C13,Female,Bachelor,17-05-2013,0
409,29,33320,2,2,42276.67,1,C1,Male,College,03-07-2017,0
410,39,57225,2,2,152457.5,1,C24,Male,Bachelor,05-08-2015,1
411,28,52572,1,1,61550,1,C1,Female,Bachelor,17-02-2015,1
412,29,56243,2,2,0,1,C16,Male,Master,15-11-2017,0
414,32.4,97153,2,3,536624,1.85,C25,Female,College,21-01-2015,1
415,36,61575,2,2,438580,2.5,C13,Female,College,21-09-2017,0
416,35,92559,3,3,0,1,C27,Female,College,06-07-2016,1
417,28,42027,2,2,0,1,C23,Female,Bachelor,06-11-2017,0
418,30.83,74051,1,2,308530.83,1.75,C15,Male,Bachelor,30-07-2012,1
419,26,38390,1,1,0,1,C13,Male,Master,07-10-2015,1
420,39,80489,3,3,202420,1,C18,Male,Master,26-10-2017,0
421,40.3,93113,1,2,429224,2.2,C4,Male,Master,07-11-2012,1
422,26.17,78754,2,3,1123987.08,3,C27,Male,Bachelor,20-04-2013,0
423,36,43083,1,1,271463.33,1.5,C20,Male,College,29-04-2013,1
424,39.2,74684,2,2,265252,1.6,C17,Male,College,02-09-2015,1
425,46,30921,1,3,626532.92,2.12,C22,Male,Bachelor,24-12-2012,0
426,34,65053,2,2,88193.75,1.38,C24,Male,Master,14-07-2015,1
427,33,88180,3,3,488333.33,2,C10,Male,Bachelor,04-10-2017,0
429,37,120771,2,4,0,1,C8,Male,College,15-06-2016,1
430,31.75,14489,1,1,52500,1,C28,Male,College,06-01-2016,1
431,38.75,50457,3,3,714420,2.88,C18,Female,College,11-05-2017,0
432,35.36,17047,1,1,190712.73,1.82,C14,Male,College,08-06-2016,1
433,36.2,78656,3,3,238658,1.6,C13,Male,Master,29-05-2017,1
434,28.75,82480.5,1,2.25,2153367.08,3.75,C6,Female,Master,11-08-2014,0
435,29,63479,1,1,551994,2.2,C22,Male,College,12-06-2015,1
436,28,128590,1,4,2792047.78,3,C24,Male,Master,09-06-2014,1
438,43,81206,1,2,694008,2.5,C9,Female,Master,14-10-2015,1
439,27,60246,1,1,410318,2.2,C3,Male,Bachelor,28-11-2016,1
440,39.08,113125,2,4,682987.5,1.38,C16,Male,Bachelor,11-08-2010,0
